2019-02-19 12:58:01.397 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppProductRequest$ChannelUserQueryList$Param
2019-02-19 12:58:01.398 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Delete
2019-02-19 12:58:01.398 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelRequest$QueryList0
2019-02-19 12:58:01.398 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$Create
2019-02-19 12:58:01.399 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DdUserRequest$GetDdUserByLoginId$Param
2019-02-19 12:58:01.399 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishResponse$DownloadResult
2019-02-19 12:58:01.399 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishResponse
2019-02-19 12:58:01.400 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.FeedBackRequest$QueryList
2019-02-19 12:58:01.400 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Delete$Param
2019-02-19 12:58:01.400 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppCrashRequest
2019-02-19 12:58:01.401 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.MessageSummaryListResponse
2019-02-19 12:58:01.402 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppProductRequest$QueryList$Param
2019-02-19 12:58:01.402 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.ChannelMessageRequest$QueryList
2019-02-19 12:58:01.403 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppPublishRequest$Get$Param
2019-02-19 12:58:01.403 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.DongRequest$Collect
2019-02-19 12:58:01.404 [INFO ] com.apexsoft.aas.util.ClassScanner - 命中class:com.apexsoft.aas.mobile.modules.common.api.pkg.AppManageRequest$Update$Param
